name,category,price,stock,description,badge,brand,image
Professional Plastic Welding Machine,tools,15,100,"Makute professional plastic welding machine kit — hot-air welding of plastic pipes, sheets and tanks with accessories in a carry case.",,Makute,PW001.png
F clamp 120x300mm,hand-tools,3.75,100,Total 120x300 F-clamp — sliding arm bar clamp for woodworking and assembly. Strong grip over a wide capacity.,,Total,THT1321201.png
CIRCULAR GRINDING WIRE BRUSH 150MM,hand-tools,1.5,100,"TOLSEN CIRCULAR GRINDING WIRE BRUSH 150MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77534.png
Electric Soldering Iron100w,tools,3.5,100,"TOLSEN 100w electric soldering iron with long-life tip — for electronics, wiring and general soldering work.",,TOLSEN,38065.png
264X115mm Sanding sheet set,tools,1,100,"INGCO 264X115mm Sanding sheet set — pre-cut sanding sheets for orbital finishing sanders. Even finish on wood, paint and filler.",,INGCO,AKFS264115.png
F clamp 80x300mm,hand-tools,2.5,100,Total 80x300 F-clamp — sliding arm bar clamp for woodworking and assembly. Strong grip over a wide capacity.,,Total,THT1320801.png
CIRCULAR GRINDING WIRE BRUSH 125MM,hand-tools,1.25,100,"TOLSEN CIRCULAR GRINDING WIRE BRUSH 125MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77533.png
Electric Soldering Iron 60w,tools,3.25,100,"TOLSEN 60w electric soldering iron with long-life tip — for electronics, wiring and general soldering work.",,TOLSEN,38062.png
145x114mm Sanding sheet set,tools,0.75,100,"INGCO 145x114mm Sanding sheet set — pre-cut sanding sheets for orbital finishing sanders. Even finish on wood, paint and filler.",,INGCO,AKFS140102.png
F clamp 50x250mm,hand-tools,1.75,100,Total 50x250 F-clamp — sliding arm bar clamp for woodworking and assembly. Strong grip over a wide capacity.,,Total,THT1320503.png
CIRCULAR WIRE BRUSHES 125MM,hand-tools,1,100,"TOLSEN CIRCULAR WIRE BRUSHES 125MM — wire brush for angle grinders and drills. Removes rust, paint, scale and weld spatter from metal surfaces.",,TOLSEN,77527.png
Electric Soldering Iron 30w,tools,3,100,"TOLSEN 30w electric soldering iron with long-life tip — for electronics, wiring and general soldering work.",,TOLSEN,38061.png
