id,sku,name,category,price,brand,stock,image
101400,GDR-501 GOLD,501 GOLD,door-handle,0.75,Generic,100,1400-1450/501-gold.jpg
101401,41 YELLOW,YELLOW 41,spray-adhesive,2.15,Generic,100,1400-1450/yellow-41.jpg
101402,SHW-31017,FLEXIBLE SPOUT,sanitary,0.69,Generic,100,1400-1450/flexible-spout.jpg
101403,FOP-68523E,SPOUT WHITE,sanitary,0.73,Generic,100,1400-1450/spout-white.jpg
101404,BKS-148 BLACK SILIVER,148 BLACK SILVER,door-handle,0.69,Generic,100,1400-1450/148-black-silver.jpg
101405,313 PINK,PINK 313,spray-adhesive,2.15,Generic,100,1400-1450/pink-313.jpg
101406,FSP-31029,SPARE SPOUT,sanitary,0.35,Generic,100,1400-1450/spare-spout.jpg
101407,BRNZ-501 BRONZE,501 BRONZE,door-handle,0.69,Generic,100,1400-1450/501-bronze.jpg
101408,318 CHROME,CHROME 318,spray-adhesive,2.7,Generic,100,1400-1450/chrome-318.jpg
101409,FSP-31028,MIXER BRASS CARTRIDGE,sanitary,0.33,Generic,100,1400-1450/mixer-brass-cartridge.jpg
101410,BBZ-508 BRONZE,508 BRONZE,door-handle,0.69,Generic,100,1400-1450/508-bronze.jpg
101411,319 BRIGHT GOLD,BRIGHT GOLD 319,spray-adhesive,3,Generic,100,1400-1450/bright-gold-319.jpg
101412,FSP-31027,CERAMIC CARTRIDGE 40MM,sanitary,0.3,Era,100,1400-1450/ceramic-cartridge-40mm.jpg
101413,CRP-501 COPPER,501 COPPER,door-handle,0.69,Generic,100,1400-1450/501-copper.jpg
101414,DSH-6325,DASHBOARD WAX,spray-adhesive,6.5,Generic,100,1400-1450/dashboard-wax.jpg
101415,CCP-505 COPPER,505 COPPER,door-handle,0.69,Generic,100,1400-1450/505-copper.jpg
101416,BGG-108 BLACK GOLD,108 BLACK GOLD,door-handle,0.69,Generic,100,1400-1450/108-black-gold.jpg
101417,SLG-142 SILVER GOLD,142 SILVER GOLD,door-handle,0.7,Generic,100,1400-1450/142-silver-gold.jpg
101418,SRL-108 SILVER,108 SILVER,door-handle,0.69,Generic,100,1400-1450/108-silver.jpg
101419,MTP-320YL YELLOW,SURE TAPE 2″x30Y YELLOW,tape,4.25,Sure,100,1400-1450/sure-tape-2x30y-yellow.jpg
101420,PRT03 25X1/2 TEE BRS,ERA PPR FEMALE TEE BRASS,plumbing-fitting,0.225,Era,100,1400-1450/era-ppr-female-tee-brass.jpg
101421,PPT-4325,TRUST PPR TEE 3/4″,plumbing-fitting,0.045,iTrust,100,1400-1450/trust-ppr-tee-3-4.jpg
101422,PR017 25,"PPR STOP VALVE 3/4""",sanitary,1.65,Generic,100,1400-1450/ppr-stop-valve-3-4.jpg
101423,PRIIT01 25,PPR TEE 3/4″,plumbing-fitting,0.055,Generic,100,1400-1450/ppr-tee-3-4.jpg
