id,sku,name,category,price,brand,stock,image
101324,"2"" 222-B","WHITE STEEL NAIL-2"" (50 box/ctn)",construction,7,Generic,100,1300-1350/white-steel-nail-2-50-box-ctn.jpg
101325,LGD-712 GOLD,712 GOLD,door-handle,1,Generic,100,1300-1350/712-gold.jpg
101326,2.5X11 6.5KG BAG,"2.5"" X 6.5 KG BAG NAIL SAFI",construction,1.9,Safi,100,1300-1350/2-5-x-6-5-kg-bag-nail-safi.jpg
101327,HRG-45035,HORSE WALL SINK,sanitary,2.75,Horse,100,1300-1350/horse-wall-sink.jpg
101328,FLE-3020L,FILTER CERAMIC,filter,2.4,Era,100,1300-1350/filter-ceramic.jpg
101329,TAFL-256533,TEFLON TAPE AGILE RETAIL,tape,5.5,Generic,100,1300-1350/teflon-tape-agile-retail.jpg
101330,2x12 8 KG,SAFI NAILS 2″x 12 x 8 KG,construction,2.7,Safi,100,1300-1350/safi-nails-2x-12-x-8-kg.jpg
101331,TNKR-36852,BRASS TANK CONNECTOR RETAIL,plumbing-fitting,3.25,Generic,100,1300-1350/brass-tank-connector-retail.jpg
101332,1.25X15 8KG BAG,SAFI NAILS 1.25″ x15 8 KG,construction,2.5,Safi,100,1300-1350/safi-nails-1-25-x15-8-kg.jpg
101333,TPU-11048,FOAM SPRAY SMALL,spray-adhesive,5.45,Generic,100,1300-1350/foam-spray-small.jpg
101334,FRG-7310C2,CORE ORANGE,filter,5.7,Generic,100,1300-1350/core-orange.jpg
101335,SLV-21362,SAFETY VALVE,sanitary,0.34,Generic,100,1300-1350/safety-valve.jpg
101336,TR-30323,WASH BASIN GREEN,sanitary,2.55,Generic,100,1300-1350/wash-basin-green.jpg
101337,R30-25632,GRD RAKE PLASTIC,gardening,6.25,Generic,100,1300-1350/grd-rake-plastic.jpg
101338,SCR-142 COPPER,142 COPPER,door-handle,0.69,Generic,100,1300-1350/142-copper.jpg
101339,BTY-45105,TROLLEY WHEEL AIR,tools,1,Generic,100,1300-1350/trolley-wheel-air.jpg
101340,36 SILVER GREY,SILVER GREY 36,spray-adhesive,2.3,Generic,100,1300-1350/silver-grey-36.jpg
101341,FCPP-63022,CORE BLUE,filter,5.1,Generic,100,1300-1350/core-blue.jpg
101342,CHV-23202,SWING VALVE 2″,sanitary,3.9,Generic,100,1300-1350/swing-valve-2.jpg
101343,TR-30322,WALL SINK GREEN,sanitary,2.5,Generic,100,1300-1350/wall-sink-green.jpg
101344,RRK-521125,GARDEN RAKE METAL,gardening,6.7,Generic,100,1300-1350/garden-rake-metal.jpg
101345,SVG-10703  SILVER GOLD,107 SILVER GOLD,door-handle,0.69,Generic,100,1300-1350/107-silver-gold.jpg
101346,WTI-84115,TIRE WITH INNER TUBE,tools,0.9,Generic,100,1300-1350/tire-with-inner-tube.jpg
101347,40 WHITE,WHITE 40,spray-adhesive,2.15,Generic,100,1300-1350/white-40.jpg
101348,HTB-20803,CHROME TUBE HEAVY,hardware,9.5,Generic,100,1300-1350/chrome-tube-heavy.jpg
101349,FCH-46031,CORE BERRY,filter,4.95,Generic,100,1300-1350/core-berry.jpg
