id,sku,name,category,price,brand,options,image
100201,2" 222-B,"WHITE STEEL NAIL-2"" (50 box/ctn)",construction,7,iTrust,0,201-250/2in-222-B.jpg
100202,2" WHT NAIL 25BOX,"WHITE STEEL NAIL A GRADE-2""(25 box/ctn)",construction,3.5,iTrust,0,201-250/2in-WHT-NAIL-25BOX.png
100203,GC-255350,"COTTON GLOVES MEDIUM- YELLOW",safety,11.75,Generic,0,201-250/GC-255350.png
100204,GC-26448,"COTTON GLOVES HEAVY- L",safety,16,Generic,0,201-250/GC-26448.png
100205,2.5X11 6.5KG BAG,"2.5"" X 6.5 KG BAG NAIL SAFI",construction,1.9,iTrust,0,201-250/2.5X11-6.5KG-BAG.png
100206,TRUST B GRADE-1,"WHITE STEEL NAIL TRUST CH",construction,7,iTrust,3,201-250/TRUST-B-GRADE-1.jpg
100207,IG-343230,"INDUSTRIAL GLOVES XL",safety,2,Generic,0,201-250/IG-343230.png
100208,GC-34302,"COTTON GLOVES LIGHT",safety,9.5,Generic,0,201-250/GC-34302.png
100209,GC-34352,"COTTON GLOVES MEDIUM",safety,13.75,Generic,0,201-250/GC-34352.png
100210,SAFI NAILS 4″ x 8 KG,"SAFI NAILS 4"" x 8 KG",construction,3,iTrust,0,201-250/SAFI-NAILS-4in-x-8-KG.png
100211,1.25X15 8KG BAG,"SAFI NAILS 1.25"" x15 8 KG",construction,2.5,iTrust,0,201-250/1.25X15-8KG-BAG.png
100212,SAFI NAILS 2.5″ x 9 KG,"SAFI NAILS 2.5"" x 9 KG",construction,2.5,iTrust,0,201-250/SAFI-NAILS-2.5in-x-9-KG.png
100213,2x12 8 KG,"SAFI NAILS 2""x 12 x 8 KG",construction,2.7,iTrust,0,201-250/2x12-8-KG.png
100214,TRUST B GRADE,"WHITE STEEL NAIL TRUST B GRADE",construction,7,iTrust,3,201-250/TRUST-B-GRADE.jpg
100215,WRS-6HDP,"SHABAK MALHOOM 6 KG",construction,3.25,Generic,0,201-250/WRS-6HDP.png
100216,WHITE BL GRN,"WHITE STEEL NAIL LW",construction,4.1,iTrust,6,201-250/WHITE-BL-GRN.jpg
100217,A GRADE,"WHITE STEEL NAIL A GRADE",construction,4,iTrust,6,201-250/A-GRADE.png
100218,PWL22622,"POWER LOADS 622 EPS",construction,1.1,EPS,0,201-250/PWL22622.png
100219,TGS-341782,"TANKER GLOVES SMOOTH XL",safety,4.25,Generic,0,201-250/TGS-341782.png
